seniorAllocationBps,juniorCoverageFloorBps,recoveryRate,withdrawalSensitivity,correlationLevel,seniorImpairmentProbability,juniorDepletionProbability,breakerActivationFrequency,avgBreakerDuration,avgTimeToStabilization,avgJuniorNAVVolatility,avgSeniorNAVVolatility,capitalEfficiencyScore,waterfallViolationCount,negativeNavCount
6000,1000,0.60,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.005088,0.000000,7.500000,0,0
6000,1000,0.60,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006778,0.000000,7.500000,0,0
6000,1000,0.60,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014601,0.000000,7.500000,0,0
6000,1500,0.30,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003703,0.000000,5.700000,0,0
6000,1500,0.30,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004683,0.000000,5.700000,0,0
6000,1500,0.30,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.016651,0.000000,5.700000,0,0
6000,1500,0.30,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003644,0.000000,5.700000,0,0
6000,1500,0.30,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004626,0.000000,5.700000,0,0
6000,1500,0.30,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.016609,0.000000,5.700000,0,0
6000,1500,0.30,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003701,0.000000,5.700000,0,0
6000,1500,0.30,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004597,0.000000,5.700000,0,0
6000,1500,0.30,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.017100,0.000000,5.700000,0,0
6000,1500,0.40,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004223,0.000000,6.300000,0,0
6000,1500,0.40,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005319,0.000000,6.300000,0,0
6000,1500,0.40,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015284,0.000000,6.300000,0,0
6000,1500,0.40,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004183,0.000000,6.300000,0,0
6000,1500,0.40,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005387,0.000000,6.300000,0,0
6000,1500,0.40,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015339,0.000000,6.300000,0,0
6000,1500,0.40,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004171,0.000000,6.300000,0,0
6000,1500,0.40,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005411,0.000000,6.300000,0,0
6000,1500,0.40,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015713,0.000000,6.300000,0,0
6000,1500,0.50,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004793,0.000000,6.900000,0,0
6000,1500,0.50,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006236,0.000000,6.900000,0,0
6000,1500,0.50,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014828,0.000000,6.900000,0,0
6000,1500,0.50,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004843,0.000000,6.900000,0,0
6000,1500,0.50,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006210,0.000000,6.900000,0,0
6000,1500,0.50,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014862,0.000000,6.900000,0,0
6000,1500,0.50,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004696,0.000000,6.900000,0,0
6000,1500,0.50,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006232,0.000000,6.900000,0,0
6000,1500,0.50,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015047,0.000000,6.900000,0,0
6000,1500,0.60,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.005177,0.000000,7.500000,0,0
6000,1500,0.60,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006744,0.000000,7.500000,0,0
6000,1500,0.60,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014528,0.000000,7.500000,0,0
6000,1500,0.60,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.005070,0.000000,7.500000,0,0
6000,1500,0.60,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006719,0.000000,7.500000,0,0
6000,1500,0.60,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014399,0.000000,7.500000,0,0
6000,1500,0.60,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.005146,0.000000,7.500000,0,0
6000,1500,0.60,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006747,0.000000,7.500000,0,0
6000,1500,0.60,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014479,0.000000,7.500000,0,0
6000,2000,0.30,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003678,0.000000,5.700000,0,0
6000,2000,0.30,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004663,0.000000,5.700000,0,0
6000,2000,0.30,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.016543,0.000000,5.700000,0,0
6000,2000,0.30,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003696,0.000000,5.700000,0,0
6000,2000,0.30,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004571,0.000000,5.700000,0,0
6000,2000,0.30,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.016623,0.000000,5.700000,0,0
6000,2000,0.30,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003783,0.000000,5.700000,0,0
6000,2000,0.30,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004738,0.000000,5.700000,0,0
6000,2000,0.30,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.017090,0.000000,5.700000,0,0
6000,2000,0.40,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004113,0.000000,6.300000,0,0
6000,2000,0.40,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005477,0.000000,6.300000,0,0
6000,2000,0.40,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014954,0.000000,6.300000,0,0
6000,2000,0.40,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004141,0.000000,6.300000,0,0
6000,2000,0.40,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005428,0.000000,6.300000,0,0
6000,2000,0.40,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015105,0.000000,6.300000,0,0
6000,2000,0.40,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004155,0.000000,6.300000,0,0
6000,2000,0.40,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005402,0.000000,6.300000,0,0
6000,2000,0.40,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015518,0.000000,6.300000,0,0
6000,2000,0.50,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004858,0.000000,6.900000,0,0
6000,2000,0.50,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006155,0.000000,6.900000,0,0
6000,2000,0.50,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014820,0.000000,6.900000,0,0
6000,2000,0.50,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004749,0.000000,6.900000,0,0
6000,2000,0.50,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006331,0.000000,6.900000,0,0
6000,2000,0.50,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014938,0.000000,6.900000,0,0
6000,2000,0.50,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004834,0.000000,6.900000,0,0
6000,2000,0.50,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006215,0.000000,6.900000,0,0
